Country Name;Country Code;GDP Growth [YR2015];Agriculture, value added (% of GDP);Gini Index;School enrollment, primary (% net);Political Rights Freedom of the House;GDP per capita, PPP (current international $);Mortality rate, infant (per 1,000 live births);;;
Afghanistan;AFG;-1,820053338;21,40072204;;;6;1861,124332;54,9;;;
Albania;ALB;2,88918343;23,09262926;29;;3;11504,74824;12,5;;;
Algeria;DZA;1,790253965;12,66994819;;97,06214905;6;14612,68039;21,9;;;
American Samoa;ASM;0,910017206;;42,7;;;;;;;
Andorra;AND;;;;;1;;2,5;;;
Angola;AGO;-0,46428231;;42,7;;6;6634,402274;56,9;;;
Antigua and Barbuda;ATG;3,034905259;1,94400306;;87,04612732;2;21415,70795;5,3;;;
Argentina;ARG;1,615899299;6,04397789;42,7;;2;20337,71595;10,3;;;
Armenia;ARM;2,621114517;19,32606202;31,5;96,07424927;5;8709,541088;12,5;;;
Aruba;ABW;;;;;;;;;;
Australia;AUS;1,006680566;2,558954184;34,9;97,03282928;1;46475,92775;3,2;;;
Austria;AUT;-0,108113771;1,290379134;30,5;;1;49419,33006;3;;;
Azerbaijan;AZE;-0,097168804;6,783586761;31,8;94,14264679;6;17779,77373;28,2;;;
Bahamas, The;BHS;-2,840217027;1,742186817;;;1;23072,81471;9;;;
Bahrain;BHR;0,20331975;0,315466039;;96,42849731;7;47333,84803;6,6;;;
Barbados;BRB;0,606258497;;;;1;16386,53613;11,7;;;
Belgium;BEL;0,889760039;0,747361772;27,6;98,94777679;1;45608,42929;3,2;;;
Belize;BLZ;0,137190447;14,91270753;;96,14115906;1;8583,138301;13,4;;;
Benin;BEN;-0,697706831;25,32139578;43,4;;2;2115,795599;64,6;;;
Bermuda;BMU;;;;;;;;;;
Bolivia;BOL;3,267949173;13,23723506;48,4;88,48271942;3;6954,301767;30,5;;;
Bosnia and Herzegovina;BIH;3,891129336;7,577309246;33,8;;4;11687,07075;5,3;;;
British Virgin Islands;VGB;;;;;;;;;;
Brunei Darussalam;BRN;-1,957072203;1,102486219;;;6;79429,00002;8,5;;;
Burkina Faso;BFA;0,985301733;32,95649677;35,3;69,09631348;6;1651,232673;54,4;;;
Cabo Verde;CPV;-0,162116265;10,20124905;47,2;97,12461853;1;6301,696069;18,9;;;
Cameroon;CMR;3,01887957;22,8180835;46,5;91,98905945;6;3184,810542;54,5;;;
Canada;CAN;0,085550256;;33,7;;1;44204,94658;4,5;;;
Cayman Islands;CYM;;;;;;;;;;
Chad;TCD;-1,397097658;52,38555112;43,3;;7;2180,179831;76,8;;;
Channel Islands;CHI;;;;;;;;;;
Chile;CHL;1,39547782;4,313533926;50,5;94,32460785;1;23579,46227;7,3;;;
Colombia;COL;2,11871999;6,615155342;53,5;90,60456848;3;13825,92126;13,6;;;
Comoros;COM;-1,328791327;;;;3;1504,525981;56,5;;;
Congo, Dem. Rep.;COD;3,412732003;20,39461364;42,1;;6;799,0767039;74;;;
Congo, Rep.;COG;0,087359076;7,243487375;48,9;;6;5901,682602;39,2;;;
Costa Rica;CRI;3,628147368;5,35698107;48,5;96,4190979;1;15879,59677;7,9;;;
Croatia;HRV;2,482529278;4,103337397;32,5;88,82807159;1;22488,74622;4,1;;;
Curacao;CUW;;;;;;;;;;
Cyprus;CYP;2,259843017;2,274381954;33,2;97,36852264;1;31539,52683;2,2;;;
Denmark;DNK;0,890845795;1,229622094;29,1;98,35106659;1;48980,79173;3,6;;;
Djibouti;DJI;4,749259403;;44,1;57,36906052;6;3342,477326;54,9;;;
Ecuador;ECU;-1,338979877;10,11343382;45,4;91,27358246;3;11474,13722;18,3;;;
Egypt, Arab Rep.;EGY;2,18436429;11,15492592;;;6;10749,09456;20,1;;;
El Salvador;SLV;1,791707172;11,13113347;41,8;91,24263;2;8352,971164;13,3;;;
Eritrea;ERI;;;;38,95043182;7;;33,8;;;
Estonia;EST;1,377738346;3,384893165;33,2;94,7019577;1;28946,78989;2,5;;;
Faroe Islands;FRO;;;;;;;;;;
Fiji;FJI;4,812925269;11,26211951;42,8;97,64402771;3;9323,156572;19,1;;;
Finland;FIN;-0,06116875;2,458580962;27,1;99,55969238;1;42275,23993;2;;;
France;FRA;0,62433474;1,736259273;33,1;;1;41178,14182;3,2;;;
French Polynesia;PYF;;;;;;;;;;
Gabon;GAB;0,948190657;4,67615468;42,2;;6;17926,42909;35,8;;;
Gambia, The;GMB;1,552676858;21,1031843;;73,10798645;6;1691,009744;43,2;;;
Georgia;GEO;3,154326513;9,129108631;40,1;;3;9609,326029;10,2;;;
Germany;DEU;0,84393513;0,635646465;30,1;98,67949677;1;47998,8627;3,3;;;
Ghana;GHA;1,579127204;20,98818318;42,8;90,59796143;1;4184,047564;42,4;;;
Gibraltar;GIB;;;;;2;;;;;
Greece;GRC;0,440440806;4,117132128;36,7;;2;26357,93796;3,1;;;
Greenland;GRL;1,982928033;15,50212439;;;;;;;;
Guam;GUM;-0,068072833;;;;;;;;;
Guatemala;GTM;2,03275711;10,76149483;48,7;85,45007324;3;7764,773594;24,6;;;
Guinea;GIN;-2,2678608;20,15015573;33,7;;5;1260,684643;60;;;
Guinea-Bissau;GNB;2,146149786;;50,7;;5;1516,484388;59,6;;;
Guyana;GUY;2,48695055;22,40031302;;;2;7520,034232;27,6;;;
Haiti;HTI;-0,098396905;;60,8;;5;1758,111734;52,2;;;
Honduras;HND;1,887147132;13,58552753;50,6;93,03652191;4;4590,236943;16,6;;;
Hong Kong SAR, China;HKG;1,497297717;0,070092303;;;;56951,96372;;;;
Hungary;HUN;3,393718717;4,132264187;30,6;90,60597229;2;26436,2078;4,6;;;
Iceland;ISL;3,017507742;6,297386332;26,9;;1;47690,38158;1,7;;;
Indonesia;IDN;3,644936751;13,49102578;39,5;89,73729706;2;11038,79164;22,9;;;
Iran, Islamic Rep.;IRN;-2,678362319;10,75334218;37,4;99,16790771;6;17046,43889;13,5;;;
Iraq;IRQ;1,580264666;;;;6;15895,22663;26,7;;;
Isle of Man;IMN;;;;;;;;;;
Israel;ISR;0,496847142;;42,8;97,20388031;1;36545,69896;3;;;
